date,Value,Geography,Age,Qualification,Year of Arrival,Country of Birth
2011,0,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived before 1981,Europe: United Kingdom
2011,0,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived before 1981,Europe: Ireland
2011,0,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived before 1981,Europe: Other Europe: EU countries: Member countries in March 2001: France
2011,0,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived before 1981,Europe: Other Europe: EU countries: Member countries in March 2001: Germany
2011,0,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived before 1981,Europe: Other Europe: EU countries: Member countries in March 2001: Italy
2011,0,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived before 1981,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal (including Madeira and the Azores)
2011,0,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived before 1981,Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001
2011,0,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived before 1981,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland
2011,0,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived before 1981,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries
2011,0,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived before 1981,Europe: Other Europe: Rest of Europe
2011,0,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived before 1981,Africa: Nigeria
2011,0,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived before 1981,Africa: South Africa
2011,0,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived before 1981,Africa: Other
2011,0,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived before 1981,Middle East and Asia: China
2011,0,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived before 1981,Middle East and Asia: Bangladesh
2011,0,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived before 1981,Middle East and Asia: India
2011,0,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived before 1981,Middle East and Asia: Pakistan
2011,0,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived before 1981,Middle East and Asia: Other
2011,0,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived before 1981,The Americas and the Caribbean: Canada
2011,0,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived before 1981,The Americas and the Caribbean: United States
2011,0,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived before 1981,The Americas and the Caribbean: Jamaica
2011,0,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived before 1981,The Americas and the Caribbean: Other
2011,0,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived before 1981,"Antarctica, Oceania and other"
2011,0,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 1981-1990,Europe: United Kingdom
2011,126,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 1981-1990,Europe: Ireland
2011,12,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 1981-1990,Europe: Other Europe: EU countries: Member countries in March 2001: France
2011,251,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 1981-1990,Europe: Other Europe: EU countries: Member countries in March 2001: Germany
2011,14,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 1981-1990,Europe: Other Europe: EU countries: Member countries in March 2001: Italy
2011,20,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 1981-1990,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal (including Madeira and the Azores)
2011,57,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 1981-1990,Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001
2011,10,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 1981-1990,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland
2011,40,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 1981-1990,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries
2011,89,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 1981-1990,Europe: Other Europe: Rest of Europe
2011,17,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 1981-1990,Africa: Nigeria
2011,25,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 1981-1990,Africa: South Africa
2011,111,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 1981-1990,Africa: Other
2011,7,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 1981-1990,Middle East and Asia: China
2011,119,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 1981-1990,Middle East and Asia: Bangladesh
2011,27,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 1981-1990,Middle East and Asia: India
2011,171,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 1981-1990,Middle East and Asia: Pakistan
2011,132,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 1981-1990,Middle East and Asia: Other
2011,12,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 1981-1990,The Americas and the Caribbean: Canada
2011,60,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 1981-1990,The Americas and the Caribbean: United States
2011,15,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 1981-1990,The Americas and the Caribbean: Jamaica
2011,31,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 1981-1990,The Americas and the Caribbean: Other
2011,38,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 1981-1990,"Antarctica, Oceania and other"
2011,0,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 1991-2000,Europe: United Kingdom
2011,356,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 1991-2000,Europe: Ireland
2011,227,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 1991-2000,Europe: Other Europe: EU countries: Member countries in March 2001: France
2011,1068,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 1991-2000,Europe: Other Europe: EU countries: Member countries in March 2001: Germany
2011,111,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 1991-2000,Europe: Other Europe: EU countries: Member countries in March 2001: Italy
2011,309,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 1991-2000,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal (including Madeira and the Azores)
2011,603,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 1991-2000,Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001
2011,292,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 1991-2000,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland
2011,638,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 1991-2000,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries
2011,1163,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 1991-2000,Europe: Other Europe: Rest of Europe
2011,204,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 1991-2000,Africa: Nigeria
2011,526,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 1991-2000,Africa: South Africa
2011,1649,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 1991-2000,Africa: Other
2011,74,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 1991-2000,Middle East and Asia: China
2011,474,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 1991-2000,Middle East and Asia: Bangladesh
2011,322,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 1991-2000,Middle East and Asia: India
2011,833,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 1991-2000,Middle East and Asia: Pakistan
2011,1603,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 1991-2000,Middle East and Asia: Other
2011,113,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 1991-2000,The Americas and the Caribbean: Canada
2011,602,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 1991-2000,The Americas and the Caribbean: United States
2011,360,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 1991-2000,The Americas and the Caribbean: Jamaica
2011,456,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 1991-2000,The Americas and the Caribbean: Other
2011,301,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 1991-2000,"Antarctica, Oceania and other"
2011,0,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 2001-2011,Europe: United Kingdom
2011,516,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 2001-2011,Europe: Ireland
2011,475,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 2001-2011,Europe: Other Europe: EU countries: Member countries in March 2001: France
2011,680,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 2001-2011,Europe: Other Europe: EU countries: Member countries in March 2001: Germany
2011,393,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 2001-2011,Europe: Other Europe: EU countries: Member countries in March 2001: Italy
2011,960,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 2001-2011,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal (including Madeira and the Azores)
2011,1427,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 2001-2011,Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001
2011,14198,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 2001-2011,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland
2011,13463,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 2001-2011,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries
2011,2837,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 2001-2011,Europe: Other Europe: Rest of Europe
2011,825,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 2001-2011,Africa: Nigeria
2011,846,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 2001-2011,Africa: South Africa
2011,8050,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 2001-2011,Africa: Other
2011,3939,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 2001-2011,Middle East and Asia: China
2011,2385,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 2001-2011,Middle East and Asia: Bangladesh
2011,2272,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 2001-2011,Middle East and Asia: India
2011,4860,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 2001-2011,Middle East and Asia: Pakistan
2011,12390,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 2001-2011,Middle East and Asia: Other
2011,208,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 2001-2011,The Americas and the Caribbean: Canada
2011,1458,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 2001-2011,The Americas and the Caribbean: United States
2011,678,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 2001-2011,The Americas and the Caribbean: Jamaica
2011,1328,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 2001-2011,The Americas and the Caribbean: Other
2011,614,England and Wales (K04000001),Age 16 to 24,No qualifications,Arrived 2001-2011,"Antarctica, Oceania and other"
2011,4201000,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Born in the UK,Europe: United Kingdom
2011,0,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Born in the UK,Europe: Ireland
2011,0,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Born in the UK,Europe: Other Europe: EU countries: Member countries in March 2001: France
2011,0,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Born in the UK,Europe: Other Europe: EU countries: Member countries in March 2001: Germany
2011,0,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Born in the UK,Europe: Other Europe: EU countries: Member countries in March 2001: Italy
2011,0,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Born in the UK,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal (including Madeira and the Azores)
2011,0,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Born in the UK,Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001
2011,0,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Born in the UK,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland
2011,0,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Born in the UK,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries
2011,0,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Born in the UK,Europe: Other Europe: Rest of Europe
2011,0,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Born in the UK,Africa: Nigeria
2011,0,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Born in the UK,Africa: South Africa
2011,0,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Born in the UK,Africa: Other
2011,0,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Born in the UK,Middle East and Asia: China
2011,0,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Born in the UK,Middle East and Asia: Bangladesh
2011,0,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Born in the UK,Middle East and Asia: India
2011,0,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Born in the UK,Middle East and Asia: Pakistan
2011,0,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Born in the UK,Middle East and Asia: Other
2011,0,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Born in the UK,The Americas and the Caribbean: Canada
2011,0,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Born in the UK,The Americas and the Caribbean: United States
2011,0,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Born in the UK,The Americas and the Caribbean: Jamaica
2011,0,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Born in the UK,The Americas and the Caribbean: Other
2011,0,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Born in the UK,"Antarctica, Oceania and other"
2011,0,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived before 1981,Europe: United Kingdom
2011,0,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived before 1981,Europe: Ireland
2011,0,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived before 1981,Europe: Other Europe: EU countries: Member countries in March 2001: France
2011,0,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived before 1981,Europe: Other Europe: EU countries: Member countries in March 2001: Germany
2011,0,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived before 1981,Europe: Other Europe: EU countries: Member countries in March 2001: Italy
2011,0,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived before 1981,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal (including Madeira and the Azores)
2011,0,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived before 1981,Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001
2011,0,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived before 1981,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland
2011,0,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived before 1981,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries
2011,0,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived before 1981,Europe: Other Europe: Rest of Europe
2011,0,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived before 1981,Africa: Nigeria
2011,0,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived before 1981,Africa: South Africa
2011,0,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived before 1981,Africa: Other
2011,0,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived before 1981,Middle East and Asia: China
2011,0,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived before 1981,Middle East and Asia: Bangladesh
2011,0,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived before 1981,Middle East and Asia: India
2011,0,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived before 1981,Middle East and Asia: Pakistan
2011,0,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived before 1981,Middle East and Asia: Other
2011,0,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived before 1981,The Americas and the Caribbean: Canada
2011,0,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived before 1981,The Americas and the Caribbean: United States
2011,0,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived before 1981,The Americas and the Caribbean: Jamaica
2011,0,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived before 1981,The Americas and the Caribbean: Other
2011,0,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived before 1981,"Antarctica, Oceania and other"
2011,0,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived 1981-1990,Europe: United Kingdom
2011,660,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived 1981-1990,Europe: Ireland
2011,260,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived 1981-1990,Europe: Other Europe: EU countries: Member countries in March 2001: France
2011,4132,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived 1981-1990,Europe: Other Europe: EU countries: Member countries in March 2001: Germany
2011,156,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived 1981-1990,Europe: Other Europe: EU countries: Member countries in March 2001: Italy
2011,182,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived 1981-1990,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal (including Madeira and the Azores)
2011,922,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived 1981-1990,Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001
2011,25,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived 1981-1990,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland
2011,543,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived 1981-1990,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries
2011,638,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived 1981-1990,Europe: Other Europe: Rest of Europe
2011,345,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived 1981-1990,Africa: Nigeria
2011,445,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived 1981-1990,Africa: South Africa
2011,1593,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived 1981-1990,Africa: Other
2011,47,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived 1981-1990,Middle East and Asia: China
2011,1442,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived 1981-1990,Middle East and Asia: Bangladesh
2011,438,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived 1981-1990,Middle East and Asia: India
2011,1266,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived 1981-1990,Middle East and Asia: Pakistan
2011,2144,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived 1981-1990,Middle East and Asia: Other
2011,254,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived 1981-1990,The Americas and the Caribbean: Canada
2011,856,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived 1981-1990,The Americas and the Caribbean: United States
2011,205,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived 1981-1990,The Americas and the Caribbean: Jamaica
2011,587,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived 1981-1990,The Americas and the Caribbean: Other
2011,686,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived 1981-1990,"Antarctica, Oceania and other"
2011,0,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived 1991-2000,Europe: United Kingdom
2011,2097,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived 1991-2000,Europe: Ireland
2011,3021,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived 1991-2000,Europe: Other Europe: EU countries: Member countries in March 2001: France
2011,13217,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived 1991-2000,Europe: Other Europe: EU countries: Member countries in March 2001: Germany
2011,1286,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived 1991-2000,Europe: Other Europe: EU countries: Member countries in March 2001: Italy
2011,2362,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived 1991-2000,Europe: Other Europe: EU countries: Member countries in March 2001: Portugal (including Madeira and the Azores)
2011,6777,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived 1991-2000,Europe: Other Europe: EU countries: Member countries in March 2001: Other member countries in March 2001
2011,849,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived 1991-2000,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Poland
2011,3635,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived 1991-2000,Europe: Other Europe: EU countries: Accession countries April 2001 to March 2011: Other EU accession countries
2011,10282,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived 1991-2000,Europe: Other Europe: Rest of Europe
2011,3360,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived 1991-2000,Africa: Nigeria
2011,6293,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived 1991-2000,Africa: South Africa
2011,18095,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived 1991-2000,Africa: Other
2011,1088,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived 1991-2000,Middle East and Asia: China
2011,3944,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived 1991-2000,Middle East and Asia: Bangladesh
2011,3820,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived 1991-2000,Middle East and Asia: India
2011,7331,England and Wales (K04000001),Age 16 to 24,"Highest level of qualification: Level 1, 2 or 3 qualifications",Arrived 1991-2000,Middle East and Asia: Pakistan
